Y	M	L	ENSO	(m,m0)_(CV)
1999 04 2 1 23.8487
2000 04 2 1 1.99906
2001 04 2 0 65.9704
2002 04 2 0 3.67364
2003 04 2 0 39.6368
2004 04 2 0 236.08
2005 04 2 1 164.411
2006 04 2 0 0.0290037
2007 04 2 0 2.30059
2008 04 2 1 4.20225
2009 04 2 0 -7.10974e-05
2010 04 2 1 5.11119
2011 04 2 1 0.0466551
2012 04 2 0 13.9363
2013 04 2 0 -3.92169e-05
2014 04 2 0 0.0764376
2015 04 2 1 103.835
2016 04 2 1 34.6046
1983 05 3 1 0.489531
1984 05 3 0 0.215513
1985 05 3 0 55.2349
1986 05 3 0 1.20007
1987 05 3 1 143.702
1988 05 3 1 6.78906
1989 05 3 1 3.27506
1990 05 3 0 172.559
1991 05 3 1 92.6064
1992 05 3 1 352.431
1993 05 3 1 49.7136
1994 05 3 1 2.05141
1995 05 3 0 77.5996
1996 05 3 0 0.0639353
1997 05 3 1 579.267
1998 05 3 1 7.34692
1999 05 3 1 193.818
2000 05 3 0 53.6896
2001 05 3 0 53.3842
2002 05 3 1 3.75167
2003 05 3 0 24.1262
2004 05 3 0 3128.04
2005 05 3 1 44.5219
2006 05 3 0 0.359216
2007 05 3 0 25.5176
2008 05 3 0 7.85541
2009 05 3 0 0.0134138
2010 05 3 0 108.253
2011 05 3 0 0.137317
2012 05 3 0 103.023
2013 05 3 0 0.0138938
2014 05 3 1 0.0976683
2015 05 3 1 18366.5
2016 05 3 1 24173
1983 06 4 1 0.899986
1984 06 4 0 23.8165
1985 06 4 0 541.715
1986 06 4 0 3.69731
1987 06 4 1 82.9308
1988 06 4 1 36.064
1989 06 4 0 18.5921
1990 06 4 0 94.9152
1991 06 4 1 154.359
1992 06 4 1 341.599
1993 06 4 1 100.579
1994 06 4 1 41.1792
1995 06 4 0 1.49661
1996 06 4 0 0.000707811
1997 06 4 1 95.0301
1998 06 4 0 0.0907837
1999 06 4 1 24.5312
2000 06 4 0 0.306893
2001 06 4 0 69.6207
2002 06 4 1 62.8966
2003 06 4 0 6.66595
2004 06 4 1 86.8218
2005 06 4 1 32.9946
2006 06 4 0 14.9868
2007 06 4 0 141.791
2008 06 4 0 18.2837
2009 06 4 1 6.08298
2010 06 4 0 109.446
2011 06 4 0 0.0652295
2012 06 4 0 104.212
2013 06 4 0 19.3591
2014 06 4 1 17.306
2015 06 4 1 287.574
2016 06 4 0 8.98855
1983 04 0 1 0.099 0.416
1984 04 0 0 0.008 0.614
1985 04 0 1 506.5 316.1
1986 04 0 0 0.398 1.99
1987 04 0 1 88.2 139.6
1988 04 0 0 16.8 35.6
1989 04 0 1 1.07 2.71
1990 04 0 0 642.9 221.6
1991 04 0 0 98.6 3.54
1992 04 0 1 660.7 912.6
1993 04 0 1 30.6 111.6
1994 04 0 0 0.407 19.4
1995 04 0 0 63.0 10.1
1996 04 0 0 0.0 0.0
1997 04 0 1 269.9 80.9
1998 04 0 1 1.90 26.1
1999 04 0 1 257.7 263.6
2000 04 0 1 7.29 35.9
2001 04 0 0 53.4 93.3
2002 04 0 0 0.148 9.59
2003 04 0 0 24.7 63.5
2004 04 0 0 1866 299.0
2005 04 0 1 159.6 469.1
2006 04 0 0 0.046 0.132
2007 04 0 0 4.85 5.35
2008 04 0 1 4.07 17.5
2009 04 0 0 0.0 0.000
2010 04 0 1 256.4 10.2
2011 04 0 1 0.0 0.163
2012 04 0 0 6.60 49.3
2013 04 0 0 0.0 0.0
2014 04 0 0 0.014 0.150
2015 04 0 1 163.3 42.4
2016 04 0 1 14.8 13.8
1983 04 1 1 0.737295
1984 04 1 0 0.211932
1985 04 1 1 980.619
1986 04 1 0 0.698395
1987 04 1 1 69.8905
1988 04 1 0 19.3962
1989 04 1 1 0.265286
1990 04 1 0 389.84
1991 04 1 0 5.93055
1992 04 1 1 3560.55
1993 04 1 1 278.936
1994 04 1 0 17.0891
1995 04 1 0 7.16391
1996 04 1 0 -6.34333e-05
1997 04 1 1 434.624
1998 04 1 1 4.93637
1999 04 1 1 22.4046
2000 04 1 1 6.39794
2001 04 1 0 118.761
2002 04 1 0 5.16061
2003 04 1 0 56.2359
2004 04 1 0 367.165
2005 04 1 1 98.6271
2006 04 1 0 0.0210656
2007 04 1 0 1.67461
2008 04 1 1 1.13634
2009 04 1 0 -1.93063e-05
2010 04 1 1 5.12704
2011 04 1 1 0.0143822
2012 04 1 0 6.56429
2013 04 1 0 -9.55766e-05
2014 04 1 0 0.0076834
2015 04 1 1 53.7033
2016 04 1 1 4.35267
1983 05 2 1 12.4291
1984 05 2 0 0.294111
1985 05 2 0 341.748
