Y	M	Lead	P-Y	P-M	Streamflow_CV
2013 03 0 2013 03 3.71976e-11
2014 03 0 2014 03 0.150001
2015 03 0 2015 03 42.4
2016 03 0 2016 03 13.8001
1982 03 1 1982 03 2.74505
1983 03 1 1983 03 38.8782
1984 03 1 1984 03 9.37427
1985 03 1 1985 03 3.57496
1986 03 1 1986 03 2.4678
1987 03 1 1987 03 35.5923
1988 03 1 1988 03 4.45272
1989 03 1 1989 03 3.94029
1990 03 1 1990 03 10.6694
1991 03 1 1991 03 4.84918
1992 03 1 1992 03 45.5478
1993 03 1 1993 03 24.9734
1994 03 1 1994 03 7.9582
1995 03 1 1995 03 44.472
1996 03 1 1996 03 2.94227
1997 03 1 1997 03 13.3689
1998 03 1 1998 03 78.8116
1999 03 1 1999 03 0.28363
2000 03 1 2000 03 0.00447711
2001 03 1 2001 03 137.197
2002 03 1 2002 03 6.34377
2003 03 1 2003 03 7.33769
2004 03 1 2004 03 15.7652
2005 03 1 2005 03 22.8004
2006 03 1 2006 03 1.49823
2007 03 1 2007 03 2.28426
2008 03 1 2008 03 1.55174
2009 03 1 2009 03 2.39562
2010 03 1 2010 03 24.3921
2011 03 1 2011 03 0.573637
2012 03 1 2012 03 1.50321
2013 03 1 2013 03 2.84136
2014 03 1 2014 03 14.7455
2015 03 1 2015 03 29.3696
2016 03 1 2016 03 5.24155
1982 03 2 1982 04 34.0435
1983 03 2 1983 04 1.11006
1984 03 2 1984 04 0.296828
1985 03 2 1985 04 198.076
1986 03 2 1986 04 0.593276
1987 03 2 1987 04 216.946
1988 03 2 1988 04 10.13
1989 03 2 1989 04 1.02647
1990 03 2 1990 04 179.27
1991 03 2 1991 04 0.93164
1992 03 2 1992 04 1481.95
1993 03 2 1993 04 206.62
1994 03 2 1994 04 6.52501
1995 03 2 1995 04 8.24984
1996 03 2 1996 04 3.58209e-06
1997 03 2 1997 04 88.9347
1998 03 2 1998 04 8.76914
1999 03 2 1999 04 23.8488
2000 03 2 2000 04 1.99916
2001 03 2 2001 04 65.9705
2002 03 2 2002 04 3.67374
2003 03 2 2003 04 39.6369
2004 03 2 2004 04 236.08
2005 03 2 2005 04 164.412
2006 03 2 2006 04 0.0291037
2007 03 2 2007 04 2.30069
2008 03 2 2008 04 4.20235
2009 03 2 2009 04 2.89026e-05
2010 03 2 2010 04 5.11129
2011 03 2 2011 04 0.0467551
2012 03 2 2012 04 13.9364
