Y	M	L	ENSO	(m,m0)_(CV)
1985 05 3 0 40.2524
1986 05 3 0 52.174
1987 05 3 1 130.545
1988 05 3 1 62.2096
1989 05 3 1 24.9819
1990 05 3 0 95.028
1991 05 3 1 49.4838
1992 05 3 1 272.966
1993 05 3 1 47.5247
1994 05 3 1 15.6253
1995 05 3 0 13.4757
1996 05 3 0 19.2889
1997 05 3 1 107.436
1998 05 3 1 101.947
1999 05 3 1 6.04451
2000 05 3 0 20.576
2001 05 3 0 77.4875
2002 05 3 1 50.2939
2003 05 3 0 85.8584
2004 05 3 0 80.5564
2005 05 3 1 78.2179
2006 05 3 0 38.2555
2007 05 3 0 84.864
2008 05 3 0 30.4876
2009 05 3 0 34.5216
2010 05 3 0 81.4383
2011 05 3 0 19.3182
2012 05 3 0 15.087
2013 05 3 0 16.4665
2014 05 3 1 24.9785
2015 05 3 1 77.7537
2016 05 3 1 218.589
1982 06 4 1 333.636
1983 06 4 1 302.319
1984 06 4 0 36.7211
1985 06 4 0 158.458
1986 06 4 0 189.946
1987 06 4 1 376.115
1988 06 4 1 44.905
1989 06 4 0 13.9585
1990 06 4 0 59.5737
1991 06 4 1 53.7534
1992 06 4 1 251.294
1993 06 4 1 51.6973
1994 06 4 1 220.625
1995 06 4 0 190.752
1996 06 4 0 15.1919
1997 06 4 1 107.568
1998 06 4 0 23.6949
1999 06 4 1 86.8126
2000 06 4 0 58.2522
2001 06 4 0 16.2728
2002 06 4 1 67.9994
2003 06 4 0 16.9611
2004 06 4 1 46.9658
2005 06 4 1 93.4837
2006 06 4 0 125.717
2007 06 4 0 184.629
2008 06 4 0 58.888
2009 06 4 1 33.6064
2010 06 4 0 205.341
2011 06 4 0 82.1244
2012 06 4 0 281.092
2013 06 4 0 78.6211
2014 06 4 1 104.4
2015 06 4 1 336.137
2016 06 4 0 301.048
1982 04 0 0 3.60 21.4
1983 04 0 1 5.78 13.9
1984 04 0 0 1.26 6.31
1985 04 0 1 254.0 59.2
1986 04 0 0 78.5 8.48
1987 04 0 1 32.5 109.0
1988 04 0 0 15.1 11.8
1989 04 0 1 12.5 9.39
1990 04 0 0 301.5 111.0
1991 04 0 0 2.63 6.23
1992 04 0 1 151.3 123.7
1993 04 0 1 7.59 33.6
1994 04 0 0 1.02 1.23
1995 04 0 0 0.033 0.042
1996 04 0 0 0.383 0.206
1997 04 0 1 252.5 30.5
1998 04 0 1 5.42 20.6
1999 04 0 1 0.622 2.89
2000 04 0 1 56.1 685.0
2001 04 0 0 28.8 114.6
2002 04 0 0 39.9 27.3
2003 04 0 0 4.61 5.66
2004 04 0 0 165.0 185.1
2005 04 0 1 37.6 78.3
2006 04 0 0 17.2 14.4
2007 04 0 0 134.9 76.3
2008 04 0 1 86.2 8.70
2009 04 0 0 22.3 16.5
2010 04 0 1 339.2 58.4
2011 04 0 1 7.82 15.2
2012 04 0 0 0.241 1.58
2013 04 0 0 0.960 0.303
2014 04 0 0 1.40 4.31
2015 04 0 1 37.5 23.9
2016 04 0 1 22.2 20.4
1982 04 1 0 15.3484
1983 04 1 1 9.49819
1984 04 1 0 5.70121
1985 04 1 1 60.2612
1986 04 1 0 6.43561
1987 04 1 1 94.0869
1988 04 1 0 3.84372
1989 04 1 1 7.96727
1990 04 1 0 93.5567
1991 04 1 0 9.13608
1992 04 1 1 80.1053
1993 04 1 1 40.5655
1994 04 1 0 1.49819
1995 04 1 0 0.0850955
1996 04 1 0 0.243191
1997 04 1 1 41.997
1998 04 1 1 6.07905
1999 04 1 1 10.6548
2000 04 1 1 1813.27
2001 04 1 0 62.5709
2002 04 1 0 30.5722
2003 04 1 0 5.77331
2004 04 1 0 200.323
2005 04 1 1 87.6929
2006 04 1 0 13.0104
2007 04 1 0 34.9312
2008 04 1 1 4.59797
2009 04 1 0 6.33296
2010 04 1 1 25.3211
2011 04 1 1 9.34926
2012 04 1 0 4.49573
2013 04 1 0 0.390047
2014 04 1 0 5.7431
2015 04 1 1 51.809
2016 04 1 1 6.78762
1982 05 2 1 20.0368
1983 05 2 1 180.049
1984 05 2 0 35.0974
1985 05 2 0 49.904
1986 05 2 0 77.9636
1987 05 2 1 215.897
1988 05 2 1 34.3906
1989 05 2 1 26.3216
1990 05 2 0 148.963
1991 05 2 1 36.3268
1992 05 2 1 285.838
1993 05 2 1 79.5047
1994 05 2 1 23.573
1995 05 2 0 11.3476
1996 05 2 0 12.4528
1997 05 2 1 68.1354
1998 05 2 1 138.945
1999 05 2 1 4.32319
2000 05 2 0 21.7087
2001 05 2 0 66.4659
2002 05 2 1 69.8494
2003 05 2 0 51.7398
2004 05 2 0 94.3992
2005 05 2 1 60.0132
2006 05 2 0 29.8132
2007 05 2 0 80.1441
2008 05 2 0 26.1787
2009 05 2 0 31.0084
2010 05 2 0 71.0045
2011 05 2 0 18.0818
2012 05 2 0 15.9969
2013 05 2 0 21.9238
2014 05 2 1 19.4919
2015 05 2 1 117.549
2016 05 2 1 184.998
1982 06 3 1 139.134
1983 06 3 1 414.621
1984 06 3 0 14.6473
1985 06 3 0 270.619
1986 06 3 0 390.733
1987 06 3 1 230.219
1988 06 3 1 47.3539
1989 06 3 0 32.875
1990 06 3 0 80.8313
1991 06 3 1 60.7797
1992 06 3 1 197.8
1993 06 3 1 342.328
1994 06 3 1 405.5
1995 06 3 0 78.8904
1996 06 3 0 17.9983
1997 06 3 1 76.2507
1998 06 3 0 17.0563
1999 06 3 1 179.997
2000 06 3 0 183.933
2001 06 3 0 72.6023
2002 06 3 1 38.1826
2003 06 3 0 20.5771
2004 06 3 1 87.1087
2005 06 3 1 27.533
2006 06 3 0 116.043
2007 06 3 0 132.614
2008 06 3 0 140.518
2009 06 3 1 66.1414
2010 06 3 0 184.224
2011 06 3 0 37.5624
2012 06 3 0 61.0986
2013 06 3 0 54.5006
2014 06 3 1 40.0504
2015 06 3 1 700.76
2016 06 3 0 206.272
1982 07 4 1 231.032
1983 07 4 0 1.67335
1984 07 4 0 0.865176
1985 07 4 0 105.118
1986 07 4 0 22.6355
1987 07 4 1 13.2229
1988 07 4 1 13.3623
1989 07 4 0 710.623
1990 07 4 0 373.699
1991 07 4 1 531.489
1992 07 4 1 184.32
1993 07 4 1 258.253
1994 07 4 0 13.342
1995 07 4 0 18.1394
1996 07 4 0 8.89461
1997 07 4 1 48.787
1998 07 4 1 1.60203
1999 07 4 1 940.221
2000 07 4 0 133.47
2001 07 4 0 7.76814
2002 07 4 1 1.03327
2003 07 4 0 125.178
2004 07 4 1 40.5663
2005 07 4 0 4.23217
2006 07 4 0 5.21771
2007 07 4 0 33.9686
2008 07 4 0 8.22844
2009 07 4 1 23.2182
2010 07 4 1 37.4482
2011 07 4 0 1.09485
2012 07 4 1 9.25559
2013 07 4 0 2.51224
2014 07 4 0 5.83842
2015 07 4 1 27.5802
2016 07 4 0 6.33153
1982 05 0 1 1127 3.60
1983 05 0 1 478.0 5.78
1984 05 0 0 0.499 1.26
1985 05 0 0 405.1 254.0
1986 05 0 0 79.5 78.5
1987 05 0 1 753.6 32.5
1988 05 0 1 17.0 15.1
1989 05 0 1 4.67 12.5
1990 05 0 0 50.9 301.5
1991 05 0 1 35.4 2.63
1992 05 0 1 856.6 151.3
1993 05 0 1 56.4 7.59
1994 05 0 1 163.1 1.02
1995 05 0 0 180.9 0.033
1996 05 0 0 0.843 0.383
1997 05 0 1 118.8 252.5
1998 05 0 1 4.81 5.42
1999 05 0 1 104.1 0.622
2000 05 0 0 46.9 56.1
2001 05 0 0 11.4 28.8
2002 05 0 1 25.0 39.9
2003 05 0 0 4.67 4.61
2004 05 0 0 28.4 165.0
2005 05 0 1 23.1 37.6
2006 05 0 0 228.7 17.2
2007 05 0 0 264.7 134.9
2008 05 0 0 62.8 86.2
2009 05 0 0 14.0 22.3
2010 05 0 0 167.4 339.2
2011 05 0 0 2.69 7.82
2012 05 0 0 25.3 0.241
2013 05 0 0 45.7 0.960
2014 05 0 1 33.2 1.40
2015 05 0 1 589.3 37.5
2016 05 0 1 122.8 22.2
1982 05 1 1 44.6301
1983 05 1 1 125.073
1984 05 1 0 33.7132
1985 05 1 0 42.79
1986 05 1 0 65.0476
1987 05 1 1 205.796
1988 05 1 1 30.9382
1989 05 1 1 30.5473
1990 05 1 0 55.9812
1991 05 1 1 81.6873
1992 05 1 1 390.674
1993 05 1 1 99.7746
1994 05 1 1 84.2517
1995 05 1 0 49.5462
1996 05 1 0 29.2132
1997 05 1 1 69.0935
1998 05 1 1 139.994
1999 05 1 1 4.98565
2000 05 1 0 10.2925
2001 05 1 0 41.9688
2002 05 1 1 71.8797
2003 05 1 0 82.1149
2004 05 1 0 38.8986
2005 05 1 1 61.6764
2006 05 1 0 24.803
2007 05 1 0 33.9995
2008 05 1 0 10.1687
2009 05 1 0 38.7292
2010 05 1 0 34.9242
2011 05 1 0 19.4326
2012 05 1 0 44.2596
2013 05 1 0 31.4504
2014 05 1 1 31.6517
2015 05 1 1 90.7661
2016 05 1 1 75.1762
1982 06 2 1 393.476
1983 06 2 1 273.673
1984 06 2 0 22.8887
1985 06 2 0 253.88
1986 06 2 0 183.259
1987 06 2 1 443.673
1988 06 2 1 41.0982
1989 06 2 0 25.8036
1990 06 2 0 76.4648
1991 06 2 1 103.179
1992 06 2 1 665.121
1993 06 2 1 56.475
1994 06 2 1 770.604
1995 06 2 0 194.238
1996 06 2 0 9.27465
1997 06 2 1 92.8165
1998 06 2 0 34.4325
1999 06 2 1 90.5174
2000 06 2 0 57.5128
2001 06 2 0 89.1376
2002 06 2 1 67.501
2003 06 2 0 45.8173
2004 06 2 1 37.8708
2005 06 2 1 28.9016
2006 06 2 0 141.501
2007 06 2 0 154.264
2008 06 2 0 101.69
2009 06 2 1 49.218
2010 06 2 0 108.451
2011 06 2 0 39.6036
2012 06 2 0 87.9574
2013 06 2 0 58.9649
2014 06 2 1 92.8507
2015 06 2 1 259.128
2016 06 2 0 88.6581
1982 07 3 1 333.523
1983 07 3 0 2.22671
1984 07 3 0 0.0881057
1985 07 3 0 92.0386
1986 07 3 0 80.883
1987 07 3 1 13.6136
1988 07 3 1 7.79045
1989 07 3 0 263.087
1990 07 3 0 597.733
1991 07 3 1 608.649
1992 07 3 1 265.372
1993 07 3 1 38.3793
1994 07 3 0 3.15728
1995 07 3 0 28.0174
1996 07 3 0 23.5518
1997 07 3 1 134.283
1998 07 3 1 3.63405
1999 07 3 1 658.775
2000 07 3 0 31.0932
2001 07 3 0 20.4009
2002 07 3 1 0.787046
2003 07 3 0 28.9007
2004 07 3 1 15.0756
2005 07 3 0 13.3954
2006 07 3 0 4.03146
2007 07 3 0 33.1719
2008 07 3 0 9.10625
2009 07 3 1 16.1392
2010 07 3 1 24.2767
2011 07 3 0 0.664857
2012 07 3 1 5.0279
2013 07 3 0 1.38318
2014 07 3 0 3.04683
2015 07 3 1 67.7108
2016 07 3 0 19.1664
1982 08 4 1 33.7607
1983 08 4 0 104.335
1984 08 4 0 0.799509
1985 08 4 0 35.7203
1986 08 4 0 332.507
1987 08 4 1 123.414
1988 08 4 1 1.61415
1989 08 4 0 11.996
1990 08 4 0 75.176
1991 08 4 1 4.37218
1992 08 4 0 1.98508
1993 08 4 0 3.32943
1994 08 4 1 0.547696
1995 08 4 0 2.70226
1996 08 4 0 3.07457
1997 08 4 1 2.66286
1998 08 4 1 8.59046
1999 08 4 1 115.089
2000 08 4 0 45.5372
2001 08 4 0 33.6422
2002 08 4 1 14.2933
2003 08 4 0 5.95278
2004 08 4 1 8.20737
2005 08 4 0 161.335
2006 08 4 0 23.1425
2007 08 4 0 73.8091
2008 08 4 0 30.5703
2009 08 4 1 15.4264
2010 08 4 1 273.304
2011 08 4 0 0.00131447
2012 08 4 1 0.0508633
2013 08 4 0 181.971
2014 08 4 0 2.04635
2015 08 4 1 91.6465
2016 08 4 0 19.5334
1982 06 0 1 794.2 1127
1983 06 0 1 37.4 478.0
1984 06 0 0 1.33 0.499
1985 06 0 0 303.7 405.1
1986 06 0 0 492.7 79.5
1987 06 0 1 268.5 753.6
1988 06 0 1 59.1 17.0
1989 06 0 0 482.6 4.67
1990 06 0 0 1033 50.9
1991 06 0 1 1136 35.4
1992 06 0 1 846.7 856.6
1993 06 0 1 113.3 56.4
1994 06 0 1 15.5 163.1
1995 06 0 0 167.4 180.9
1996 06 0 0 58.6 0.843
1997 06 0 1 314.5 118.8
1998 06 0 0 26.3 4.81
1999 06 0 1 1264 104.1
2000 06 0 0 167.9 46.9
2001 06 0 0 74.1 11.4
2002 06 0 1 10.4 25.0
2003 06 0 0 254.6 4.67
2004 06 0 1 115.9 28.4
2005 06 0 1 49.8 23.1
2006 06 0 0 36.1 228.7
2007 06 0 0 180.9 264.7
2008 06 0 0 40.9 62.8
2009 06 0 1 55.0 14.0
2010 06 0 0 115.3 167.4
2011 06 0 0 0.283 2.69
2012 06 0 0 19.5 25.3
2013 06 0 0 20.9 45.7
2014 06 0 1 52.7 33.2
2015 06 0 1 274.2 589.3
2016 06 0 0 113.8 122.8
1982 06 1 1 519.715
1983 06 1 1 240.2
1984 06 1 0 25.5754
1985 06 1 0 353.324
1986 06 1 0 185.196
1987 06 1 1 163.428
1988 06 1 1 101.904
1989 06 1 0 33.907
1990 06 1 0 67.1193
1991 06 1 1 54.9147
1992 06 1 1 145.529
1993 06 1 1 85.2939
1994 06 1 1 346.244
1995 06 1 0 271.922
1996 06 1 0 9.15336
1997 06 1 1 144.116
1998 06 1 0 7.55539
1999 06 1 1 90.9901
2000 06 1 0 51.2583
2001 06 1 0 126.892
2002 06 1 1 127.863
2003 06 1 0 26.4278
2004 06 1 1 81.5784
2005 06 1 1 40.4851
2006 06 1 0 143.755
2007 06 1 0 286.737
2008 06 1 0 139.169
2009 06 1 1 46.513
2010 06 1 0 104.137
2011 06 1 0 36.108
2012 06 1 0 79.4763
2013 06 1 0 82.5035
2014 06 1 1 121.312
2015 06 1 1 273.678
2016 06 1 0 141.921
1982 07 2 1 165.03
1983 07 2 0 11.9686
1984 07 2 0 0.0694813
1985 07 2 0 13.0348
1986 07 2 0 16.3204
1987 07 2 1 95.8079
1988 07 2 1 6.87584
1989 07 2 0 157.653
1990 07 2 0 562.866
1991 07 2 1 303.79
1992 07 2 1 3470.06
1993 07 2 1 252.356
1994 07 2 0 6.62222
1995 07 2 0 23.9036
1996 07 2 0 13.3532
