Y	M	Lead	P-Y	P-M	Streamflow_CV
1991 03 2 1991 04 6.86137
1992 03 2 1992 04 48.0501
1993 03 2 1993 04 41.7914
1994 03 2 1994 04 2.20733
1995 03 2 1995 04 0.0707143
1996 03 2 1996 04 0.346827
1997 03 2 1997 04 31.3408
1998 03 2 1998 04 15.1421
1999 03 2 1999 04 5.78306
2000 03 2 2000 04 2895.62
2001 03 2 2001 04 165.603
2002 03 2 2002 04 37.2504
2003 03 2 2003 04 4.99396
2004 03 2 2004 04 224.196
2005 03 2 2005 04 78.2112
2006 03 2 2006 04 23.9646
2007 03 2 2007 04 60.0577
2008 03 2 2008 04 10.6309
2009 03 2 2009 04 11.6269
2010 03 2 2010 04 17.82
1984 03 3 1984 05 18.8721
1985 03 3 1985 05 40.825
1986 03 3 1986 05 47.9969
1987 03 3 1987 05 112.226
1988 03 3 1988 05 50.1898
1989 03 3 1989 05 20.8989
1990 03 3 1990 05 96.5639
1991 03 3 1991 05 34.5245
1992 03 3 1992 05 250.661
1993 03 3 1993 05 37.7552
1994 03 3 1994 05 6.25298
1995 03 3 1995 05 2.40234
1996 03 3 1996 05 8.9122
1997 03 3 1997 05 111.027
1998 03 3 1998 05 81.3239
1999 03 3 1999 05 2.87377
2000 03 3 2000 05 14.8984
2001 03 3 2001 05 72.404
2002 03 3 2002 05 44.7482
2003 03 3 2003 05 68.0007
2004 03 3 2004 05 79.2108
2005 03 3 2005 05 66.0083
2006 03 3 2006 05 30.902
2007 03 3 2007 05 77.0278
2008 03 3 2008 05 26.121
2009 03 3 2009 05 28.2543
2010 03 3 2010 05 69.8162
1984 03 4 1984 06 53.6693
1985 03 4 1985 06 192.647
1986 03 4 1986 06 169.568
1987 03 4 1987 06 159.336
1988 03 4 1988 06 68.6193
1989 03 4 1989 06 28.8145
1990 03 4 1990 06 220.79
1991 03 4 1991 06 151.462
1992 03 4 1992 06 82.2251
1993 03 4 1993 06 43.4269
1994 03 4 1994 06 82.9379
1995 03 4 1995 06 98.3202
1996 03 4 1996 06 108.494
1997 03 4 1997 06 391.193
1998 03 4 1998 06 155.187
1999 03 4 1999 06 142.316
2000 03 4 2000 06 84.9548
2001 03 4 2001 06 34.8924
2002 03 4 2002 06 41.8358
2003 03 4 2003 06 27.797
2004 03 4 2004 06 70.6824
2005 03 4 2005 06 111.307
2006 03 4 2006 06 385.344
2007 03 4 2007 06 228.948
2008 03 4 2008 06 67.0933
2009 03 4 2009 06 95.0124
2010 03 4 2010 06 546.321
1983 04 0 1983 04 5.77999
1984 04 0 1984 04 1.26
1985 04 0 1985 04 253.999
1986 04 0 1986 04 78.5
1987 04 0 1987 04 32.4999
1988 04 0 1988 04 15.1
1989 04 0 1989 04 12.5
1990 04 0 1990 04 301.5
1991 04 0 1991 04 2.63
1992 04 0 1992 04 151.301
1993 04 0 1993 04 7.58996
1994 04 0 1994 04 1.02
1995 04 0 1995 04 0.0330001
1996 04 0 1996 04 0.383
1997 04 0 1997 04 252.5
1998 04 0 1998 04 5.41998
1999 04 0 1999 04 0.622
2000 04 0 2000 04 56.1001
2001 04 0 2001 04 28.8
2002 04 0 2002 04 39.9
2003 04 0 2003 04 4.61
2004 04 0 2004 04 165.001
2005 04 0 2005 04 37.6001
2006 04 0 2006 04 17.2001
2007 04 0 2007 04 134.899
2008 04 0 2008 04 86.1999
2009 04 0 2009 04 22.3
2010 04 0 2010 04 339.2
1984 04 1 1984 04 7.08668
1985 04 1 1985 04 54.0795
1986 04 1 1986 04 6.31149
1987 04 1 1987 04 85.8967
1988 04 1 1988 04 5.27037
1989 04 1 1989 04 9.24664
1990 04 1 1990 04 85.0966
1991 04 1 1991 04 7.58071
1992 04 1 1992 04 74.495
1993 04 1 1993 04 36.0853
1994 04 1 1994 04 1.55379
1995 04 1 1995 04 0.128323
1996 04 1 1996 04 0.365955
1997 04 1 1997 04 27.8766
1998 04 1 1998 04 13.6301
1999 04 1 1999 04 17.975
2000 04 1 2000 04 5105.17
2001 04 1 2001 04 137.34
2002 04 1 2002 04 20.2614
2003 04 1 2003 04 8.00937
2004 04 1 2004 04 283.911
2005 04 1 2005 04 121.479
2006 04 1 2006 04 22.9768
2007 04 1 2007 04 51.5692
2008 04 1 2008 04 7.58672
2009 04 1 2009 04 7.8828
2010 04 1 2010 04 35.4508
1984 04 2 1984 05 26.8808
1985 04 2 1985 05 50.1655
1986 04 2 1986 05 65.1573
1987 04 2 1987 05 167.38
1988 04 2 1988 05 29.6979
1989 04 2 1989 05 23.198
1990 04 2 1990 05 148.461
1991 04 2 1991 05 27.2443
1992 04 2 1992 05 242.849
1993 04 2 1993 05 54.9726
1994 04 2 1994 05 9.34051
1995 04 2 1995 05 2.78383
1996 04 2 1996 05 6.41321
1997 04 2 1997 05 67.959
1998 04 2 1998 05 121.191
1999 04 2 1999 05 2.29534
2000 04 2 2000 05 18.497
2001 04 2 2001 05 59.187
2002 04 2 2002 05 62.4047
2003 04 2 2003 05 40.7983
2004 04 2 2004 05 93.3202
2005 04 2 2005 05 52.5685
2006 04 2 2006 05 25.0471
2007 04 2 2007 05 76.3956
2008 04 2 2008 05 25.1069
2009 04 2 2009 05 27.017
2010 04 2 2010 05 69.2002
1984 04 3 1984 06 89.8982
1985 04 3 1985 06 126.454
1986 04 3 1986 06 187.94
1987 04 3 1987 06 187.615
1988 04 3 1988 06 82.5493
1989 04 3 1989 06 77.5431
1990 04 3 1990 06 113.119
1991 04 3 1991 06 87.5571
1992 04 3 1992 06 179.783
1993 04 3 1993 06 309.878
1994 04 3 1994 06 342.776
1995 04 3 1995 06 115.01
1996 04 3 1996 06 74.0564
1997 04 3 1997 06 83.017
1998 04 3 1998 06 101.348
1999 04 3 1999 06 85.4973
2000 04 3 2000 06 76.2894
2001 04 3 2001 06 115.513
2002 04 3 2002 06 86.7536
2003 04 3 2003 06 114.847
2004 04 3 2004 06 104.918
2005 04 3 2005 06 73.8069
2006 04 3 2006 06 72.2745
2007 04 3 2007 06 110.496
2008 04 3 2008 06 74.3759
2009 04 3 2009 06 105.032
2010 04 3 2010 06 90.7162
1984 04 4 1984 07 2.59026
1985 04 4 1985 07 41.275
1986 04 4 1986 07 6.32288
1987 04 4 1987 07 3.70189
1988 04 4 1988 07 17.7269
1989 04 4 1989 07 226.754
1990 04 4 1990 07 227.159
1991 04 4 1991 07 256.141
1992 04 4 1992 07 75.3581
1993 04 4 1993 07 43.9486
1994 04 4 1994 07 8.58238
1995 04 4 1995 07 41.348
1996 04 4 1996 07 39.7254
1997 04 4 1997 07 66.3659
1998 04 4 1998 07 8.43536
1999 04 4 1999 07 311.458
2000 04 4 2000 07 100.193
2001 04 4 2001 07 12.5758
2002 04 4 2002 07 1.94521
2003 04 4 2003 07 37.6627
2004 04 4 2004 07 34.0734
2005 04 4 2005 07 20.9175
2006 04 4 2006 07 15.0799
2007 04 4 2007 07 34.3681
2008 04 4 2008 07 27.5798
2009 04 4 2009 07 16.4177
2010 04 4 2010 07 32.4337
1983 05 0 1983 05 478
1984 05 0 1984 05 0.499
1985 05 0 1985 05 405.098
1986 05 0 1986 05 79.5001
1987 05 0 1987 05 753.599
1988 05 0 1988 05 17
1989 05 0 1989 05 4.67
1990 05 0 1990 05 50.8998
1991 05 0 1991 05 35.3998
1992 05 0 1992 05 856.599
1993 05 0 1993 05 56.3999
1994 05 0 1994 05 163.099
1995 05 0 1995 05 180.899
1996 05 0 1996 05 0.843
1997 05 0 1997 05 118.8
1998 05 0 1998 05 4.81001
1999 05 0 1999 05 104.1
2000 05 0 2000 05 46.9
2001 05 0 2001 05 11.4
2002 05 0 2002 05 25
2003 05 0 2003 05 4.67
2004 05 0 2004 05 28.3999
2005 05 0 2005 05 23.1001
2006 05 0 2006 05 228.7
2007 05 0 2007 05 264.701
2008 05 0 2008 05 62.8002
2009 05 0 2009 05 13.9999
2010 05 0 2010 05 167.401
1984 05 1 1984 05 20.6363
1985 05 1 1985 05 61.3103
1986 05 1 1986 05 63.9946
1987 05 1 1987 05 123.089
1988 05 1 1988 05 29.4533
1989 05 1 1989 05 34.1407
1990 05 1 1990 05 103.873
1991 05 1 1991 05 45.9748
1992 05 1 1992 05 352.161
1993 05 1 1993 05 44.9381
1994 05 1 1994 05 10.4199
1995 05 1 1995 05 1.92485
1996 05 1 1996 05 6.26113
1997 05 1 1997 05 87.2901
1998 05 1 1998 05 76.8003
1999 05 1 1999 05 2.84212
2000 05 1 2000 05 18.2081
2001 05 1 2001 05 49.4717
2002 05 1 2002 05 80.3259
2003 05 1 2003 05 49.0936
2004 05 1 2004 05 67.5068
2005 05 1 2005 05 66.6296
2006 05 1 2006 05 25.5283
2007 05 1 2007 05 43.6084
2008 05 1 2008 05 17.8766
2009 05 1 2009 05 41.1786
2010 05 1 2010 05 77.3919
1984 05 2 1984 06 69.7083
1985 05 2 1985 06 219.726
1986 05 2 1986 06 149.504
1987 05 2 1987 06 234.854
1988 05 2 1988 06 64.0565
1989 05 2 1989 06 43.6922
1990 05 2 1990 06 96.666
1991 05 2 1991 06 98.7837
1992 05 2 1992 06 217.365
1993 05 2 1993 06 56.6274
1994 05 2 1994 06 704.104
1995 05 2 1995 06 204.914
1996 05 2 1996 06 22.9045
1997 05 2 1997 06 120.232
1998 05 2 1998 06 57.3808
1999 05 2 1999 06 112.773
2000 05 2 2000 06 90.1146
2001 05 2 2001 06 121.53
2002 05 2 2002 06 97.2648
2003 05 2 2003 06 62.1295
2004 05 2 2004 06 68.9102
2005 05 2 2005 06 57.507
2006 05 2 2006 06 227.231
2007 05 2 2007 06 220.254
2008 05 2 2008 06 194.816
2009 05 2 2009 06 80.9778
2010 05 2 2010 06 168.189
1984 05 3 1984 07 2.08104
1985 05 3 1985 07 52.7581
1986 05 3 1986 07 14.1264
1987 05 3 1987 07 5.01498
1988 05 3 1988 07 8.87275
1989 05 3 1989 07 174.022
1990 05 3 1990 07 164.642
1991 05 3 1991 07 201.304
1992 05 3 1992 07 66.7101
1993 05 3 1993 07 33.2705
1994 05 3 1994 07 14.9075
1995 05 3 1995 07 32.7693
1996 05 3 1996 07 39.5651
1997 05 3 1997 07 104.412
1998 05 3 1998 07 14.3472
1999 05 3 1999 07 271.775
2000 05 3 2000 07 34.5379
2001 05 3 2001 07 34.5442
2002 05 3 2002 07 2.63396
2003 05 3 2003 07 17.6
2004 05 3 2004 07 21.857
