X	Y	S	mean [ IRI FD ECHAM4p5 Forecast ca_sst ensemble24 MONTHLY st ]
degree_east	degree_north	months since 1960-01-01	Kelvin_scale
   -98.43750    	    29.30136    	    38.00000    	    293.2883    
   -101.2500    	    32.09194    	    39.00000    	    294.7957    
   -98.43750    	    32.09194    	    39.00000    	    294.8946    
   -101.2500    	    29.30136    	    39.00000    	    295.7714    
   -98.43750    	    29.30136    	    39.00000    	    298.8529    
   -101.2500    	    32.09194    	    40.00000    	    300.2682    
   -98.43750    	    32.09194    	    40.00000    	    300.2439    
   -101.2500    	    29.30136    	    40.00000    	    299.8155    
   -98.43750    	    29.30136    	    40.00000    	    302.9958    
   -101.2500    	    32.09194    	    41.00000    	    306.1654    
   -98.43750    	    32.09194    	    41.00000    	    306.5842    
   -101.2500    	    29.30136    	    41.00000    	    304.9047    
   -98.43750    	    29.30136    	    41.00000    	    307.8760    
   -101.2500    	    32.09194    	    42.00000    	    308.8248    
   -98.43750    	    32.09194    	    42.00000    	    309.3816    
   -101.2500    	    29.30136    	    42.00000    	    307.1556    
   -98.43750    	    29.30136    	    42.00000    	    309.4504    
   -101.2500    	    32.09194    	    43.00000    	    308.0147    
   -98.43750    	    32.09194    	    43.00000    	    308.7875    
   -101.2500    	    29.30136    	    43.00000    	    306.2034    
   -98.43750    	    29.30136    	    43.00000    	    308.8259    
   -101.2500    	    32.09194    	    44.00000    	    304.8251    
   -98.43750    	    32.09194    	    44.00000    	    305.5723    
   -101.2500    	    29.30136    	    44.00000    	    303.4524    
   -98.43750    	    29.30136    	    44.00000    	    306.8321    
   -101.2500    	    32.09194    	    45.00000    	    298.0597    
   -98.43750    	    32.09194    	    45.00000    	    299.1201    
   -101.2500    	    29.30136    	    45.00000    	    298.3057    
   -98.43750    	    29.30136    	    45.00000    	    301.7960    
   -101.2500    	    32.09194    	    46.00000    	    289.2888    
   -98.43750    	    32.09194    	    46.00000    	    290.2123    
   -101.2500    	    29.30136    	    46.00000    	    290.9465    
   -98.43750    	    29.30136    	    46.00000    	    294.4237    
   -101.2500    	    32.09194    	    47.00000    	    282.5063    
   -98.43750    	    32.09194    	    47.00000    	    282.8655    
   -101.2500    	    29.30136    	    47.00000    	    284.9253    
   -98.43750    	    29.30136    	    47.00000    	    287.8174    
   -101.2500    	    32.09194    	    48.00000    	    281.0202    
   -98.43750    	    32.09194    	    48.00000    	    281.2293    
   -101.2500    	    29.30136    	    48.00000    	    283.3196    
   -98.43750    	    29.30136    	    48.00000    	    286.0995    
   -101.2500    	    32.09194    	    49.00000    	    283.5812    
   -98.43750    	    32.09194    	    49.00000    	    283.7279    
   -101.2500    	    29.30136    	    49.00000    	    285.4778    
   -98.43750    	    29.30136    	    49.00000    	    288.3727    
   -101.2500    	    32.09194    	    50.00000    	    288.7159    
   -98.43750    	    32.09194    	    50.00000    	    288.4124    
   -101.2500    	    29.30136    	    50.00000    	    290.2705    
   -98.43750    	    29.30136    	    50.00000    	    292.9202    
   -101.2500    	    32.09194    	    51.00000    	    294.6614    
   -98.43750    	    32.09194    	    51.00000    	    294.5988    
   -101.2500    	    29.30136    	    51.00000    	    295.6725    
   -98.43750    	    29.30136    	    51.00000    	    298.6230    
   -101.2500    	    32.09194    	    52.00000    	    301.7908    
   -98.43750    	    32.09194    	    52.00000    	    302.0265    
   -101.2500    	    29.30136    	    52.00000    	    301.3662    
   -98.43750    	    29.30136    	    52.00000    	    304.3075    
   -101.2500    	    32.09194    	    53.00000    	    306.8151    
   -98.43750    	    32.09194    	    53.00000    	    307.6444    
   -101.2500    	    29.30136    	    53.00000    	    305.1711    
   -98.43750    	    29.30136    	    53.00000    	    308.1833    
   -101.2500    	    32.09194    	    54.00000    	    308.8267    
   -98.43750    	    32.09194    	    54.00000    	    309.4300    
   -101.2500    	    29.30136    	    54.00000    	    307.4482    
   -98.43750    	    29.30136    	    54.00000    	    309.3750    
   -101.2500    	    32.09194    	    55.00000    	    307.8347    
   -98.43750    	    32.09194    	    55.00000    	    308.5586    
   -101.2500    	    29.30136    	    55.00000    	    306.1047    
   -98.43750    	    29.30136    	    55.00000    	    308.7231    
   -101.2500    	    32.09194    	    56.00000    	    304.2790    
   -98.43750    	    32.09194    	    56.00000    	    305.3599    
   -101.2500    	    29.30136    	    56.00000    	    302.8085    
   -98.43750    	    29.30136    	    56.00000    	    306.2923    
   -101.2500    	    32.09194    	    57.00000    	    297.8354    
   -98.43750    	    32.09194    	    57.00000    	    299.0368    
   -101.2500    	    29.30136    	    57.00000    	    297.7635    
   -98.43750    	    29.30136    	    57.00000    	    301.4891    
   -101.2500    	    32.09194    	    58.00000    	    290.1411    
   -98.43750    	    32.09194    	    58.00000    	    291.1380    
   -101.2500    	    29.30136    	    58.00000    	    291.4518    
   -98.43750    	    29.30136    	    58.00000    	    294.8433    
   -101.2500    	    32.09194    	    59.00000    	    284.1192    
   -98.43750    	    32.09194    	    59.00000    	    284.8028    
   -101.2500    	    29.30136    	    59.00000    	    286.4814    
   -98.43750    	    29.30136    	    59.00000    	    289.6631    
   -101.2500    	    32.09194    	    60.00000    	    282.9436    
   -98.43750    	    32.09194    	    60.00000    	    283.4116    
   -101.2500    	    29.30136    	    60.00000    	    285.3033    
   -98.43750    	    29.30136    	    60.00000    	    288.4065    
   -101.2500    	    32.09194    	    61.00000    	    285.0710    
   -98.43750    	    32.09194    	    61.00000    	    285.1921    
   -101.2500    	    29.30136    	    61.00000    	    287.2038    
   -98.43750    	    29.30136    	    61.00000    	    290.1247    
   -101.2500    	    32.09194    	    62.00000    	    289.2975    
   -98.43750    	    32.09194    	    62.00000    	    289.3190    
   -101.2500    	    29.30136    	    62.00000    	    290.9521    
   -98.43750    	    29.30136    	    62.00000    	    293.9550    
   -101.2500    	    32.09194    	    63.00000    	    293.7902    
   -98.43750    	    32.09194    	    63.00000    	    293.9064    
   -101.2500    	    29.30136    	    63.00000    	    294.5325    
   -98.43750    	    29.30136    	    63.00000    	    297.5878    
   -101.2500    	    32.09194    	    64.00000    	    298.6698    
   -98.43750    	    32.09194    	    64.00000    	    299.1421    
   -101.2500    	    29.30136    	    64.00000    	    298.8716    
   -98.43750    	    29.30136    	    64.00000    	    302.4364    
   -101.2500    	    32.09194    	    65.00000    	    305.2594    
   -98.43750    	    32.09194    	    65.00000    	    305.5368    
   -101.2500    	    29.30136    	    65.00000    	    304.1613    
   -98.43750    	    29.30136    	    65.00000    	    307.3472    
   -101.2500    	    32.09194    	    66.00000    	    307.1730    
   -98.43750    	    32.09194    	    66.00000    	    307.9115    
   -101.2500    	    29.30136    	    66.00000    	    306.0619    
   -98.43750    	    29.30136    	    66.00000    	    308.5204    
   -101.2500    	    32.09194    	    67.00000    	    307.6741    
   -98.43750    	    32.09194    	    67.00000    	    308.2484    
   -101.2500    	    29.30136    	    67.00000    	    305.9992    
   -98.43750    	    29.30136    	    67.00000    	    308.2790    
   -101.2500    	    32.09194    	    68.00000    	    303.9932    
   -98.43750    	    32.09194    	    68.00000    	    305.1676    
   -101.2500    	    29.30136    	    68.00000    	    303.0873    
   -98.43750    	    29.30136    	    68.00000    	    306.5555    
   -101.2500    	    32.09194    	    69.00000    	    296.7972    
   -98.43750    	    32.09194    	    69.00000    	    298.0381    
   -101.2500    	    29.30136    	    69.00000    	    297.2201    
   -98.43750    	    29.30136    	    69.00000    	    300.8296    
   -101.2500    	    32.09194    	    70.00000    	    288.3089    
   -98.43750    	    32.09194    	    70.00000    	    289.2401    
   -101.2500    	    29.30136    	    70.00000    	    289.6371    
   -98.43750    	    29.30136    	    70.00000    	    293.1496    
   -101.2500    	    32.09194    	    71.00000    	    281.4691    
   -98.43750    	    32.09194    	    71.00000    	    281.8546    
   -101.2500    	    29.30136    	    71.00000    	    283.7490    
   -98.43750    	    29.30136    	    71.00000    	    286.6751    
   -101.2500    	    32.09194    	    72.00000    	    280.3758    
   -98.43750    	    32.09194    	    72.00000    	    280.3131    
   -101.2500    	    29.30136    	    72.00000    	    282.3859    
   -98.43750    	    29.30136    	    72.00000    	    285.0177    
   -101.2500    	    32.09194    	    73.00000    	    282.6920    
   -98.43750    	    32.09194    	    73.00000    	    282.2017    
   -101.2500    	    29.30136    	    73.00000    	    284.4686    
   -98.43750    	    29.30136    	    73.00000    	    286.9264    
   -101.2500    	    32.09194    	    74.00000    	    288.0065    
   -98.43750    	    32.09194    	    74.00000    	    287.6271    
   -101.2500    	    29.30136    	    74.00000    	    289.5088    
   -98.43750    	    29.30136    	    74.00000    	    292.0714    
   -101.2500    	    32.09194    	    75.00000    	    293.1803    
   -98.43750    	    32.09194    	    75.00000    	    292.8900    
   -101.2500    	    29.30136    	    75.00000    	    294.2420    
   -98.43750    	    29.30136    	    75.00000    	    296.7995    
   -101.2500    	    32.09194    	    76.00000    	    298.7111    
   -98.43750    	    32.09194    	    76.00000    	    298.5413    
   -101.2500    	    29.30136    	    76.00000    	    298.9317    
   -98.43750    	    29.30136    	    76.00000    	    301.7036    
   -101.2500    	    32.09194    	    77.00000    	    304.9097    
   -98.43750    	    32.09194    	    77.00000    	    305.2271    
   -101.2500    	    29.30136    	    77.00000    	    303.9127    
   -98.43750    	    29.30136    	    77.00000    	    307.0902    
   -101.2500    	    32.09194    	    78.00000    	    307.7350    
   -98.43750    	    32.09194    	    78.00000    	    308.4133    
   -101.2500    	    29.30136    	    78.00000    	    306.1373    
   -98.43750    	    29.30136    	    78.00000    	    308.5845    
   -101.2500    	    32.09194    	    79.00000    	    307.4090    
   -98.43750    	    32.09194    	    79.00000    	    308.3524    
   -101.2500    	    29.30136    	    79.00000    	    305.8208    
   -98.43750    	    29.30136    	    79.00000    	    308.4661    
   -101.2500    	    32.09194    	    80.00000    	    304.7706    
   -98.43750    	    32.09194    	    80.00000    	    305.5818    
   -101.2500    	    29.30136    	    80.00000    	    303.5833    
   -98.43750    	    29.30136    	    80.00000    	    307.0107    
   -101.2500    	    32.09194    	    81.00000    	    298.1725    
   -98.43750    	    32.09194    	    81.00000    	    299.3722    
   -101.2500    	    29.30136    	    81.00000    	    298.1575    
   -98.43750    	    29.30136    	    81.00000    	    301.7878    
   -101.2500    	    32.09194    	    82.00000    	    289.7466    
   -98.43750    	    32.09194    	    82.00000    	    290.9379    
   -101.2500    	    29.30136    	    82.00000    	    291.2052    
   -98.43750    	    29.30136    	    82.00000    	    294.8365    
   -101.2500    	    32.09194    	    83.00000    	    283.2010    
   -98.43750    	    32.09194    	    83.00000    	    283.8058    
   -101.2500    	    29.30136    	    83.00000    	    285.6321    
   -98.43750    	    29.30136    	    83.00000    	    288.7104    
   -101.2500    	    32.09194    	    84.00000    	    281.2810    
   -98.43750    	    32.09194    	    84.00000    	    281.3716    
   -101.2500    	    29.30136    	    84.00000    	    283.7545    
   -98.43750    	    29.30136    	    84.00000    	    286.3495    
   -101.2500    	    32.09194    	    85.00000    	    284.4366    
   -98.43750    	    32.09194    	    85.00000    	    284.1513    
   -101.2500    	    29.30136    	    85.00000    	    286.5986    
   -98.43750    	    29.30136    	    85.00000    	    289.0590    
   -101.2500    	    32.09194    	    86.00000    	    288.9539    
   -98.43750    	    32.09194    	    86.00000    	    288.6526    
   -101.2500    	    29.30136    	    86.00000    	    290.6992    
   -98.43750    	    29.30136    	    86.00000    	    293.3370    
   -101.2500    	    32.09194    	    87.00000    	    294.7104    
   -98.43750    	    32.09194    	    87.00000    	    294.6920    
   -101.2500    	    29.30136    	    87.00000    	    295.8844    
   -98.43750    	    29.30136    	    87.00000    	    298.7491    
   -101.2500    	    32.09194    	    88.00000    	    301.0528    
   -98.43750    	    32.09194    	    88.00000    	    301.3375    
   -101.2500    	    29.30136    	    88.00000    	    300.6064    
   -98.43750    	    29.30136    	    88.00000    	    303.8525    
   -101.2500    	    32.09194    	    89.00000    	    306.1775    
