Y	M	Lead	P-Y	P-M	Streamflow_CV
1998 04 4 1998 07 0.840256
1999 04 4 1999 07 58.2668
2000 04 4 2000 07 18.6071
2001 04 4 2001 07 2.00823
2002 04 4 2002 07 88.6002
2003 04 4 2003 07 197.29
2004 04 4 2004 07 9.03256
2005 04 4 2005 07 4.45764
2006 04 4 2006 07 3.78426
2007 04 4 2007 07 147.849
2008 04 4 2008 07 66.0324
2009 04 4 2009 07 4.62359
2010 04 4 2010 07 6.81205
1983 05 0 1983 05 167.999
1984 05 0 1984 05 5.16002
1985 05 0 1985 05 298.199
1986 05 0 1986 05 36.1002
1987 05 0 1987 05 980.203
1988 05 0 1988 05 53.1001
1989 05 0 1989 05 54.6002
1990 05 0 1990 05 1953
1991 05 0 1991 05 439.998
1992 05 0 1992 05 289.2
1993 05 0 1993 05 172.001
1994 05 0 1994 05 817.001
1995 05 0 1995 05 47.5998
1996 05 0 1996 05 26.1999
1997 05 0 1997 05 270.8
1998 05 0 1998 05 10.3
1999 05 0 1999 05 54.3002
2000 05 0 2000 05 5.03
2001 05 0 2001 05 106.4
2002 05 0 2002 05 169.7
2003 05 0 2003 05 15.2
2004 05 0 2004 05 53.8003
2005 05 0 2005 05 59.5001
2006 05 0 2006 05 336
2007 05 0 2007 05 900.599
2008 05 0 2008 05 240.199
2009 05 0 2009 05 52.9003
2010 05 0 2010 05 140.7
1984 05 1 1984 05 37.9313
1985 05 1 1985 05 434.503
1986 05 1 1986 05 61.2506
1987 05 1 1987 05 164.248
1988 05 1 1988 05 71.0925
1989 05 1 1989 05 81.6309
1990 05 1 1990 05 347.021
1991 05 1 1991 05 35.3119
1992 05 1 1992 05 1046.08
1993 05 1 1993 05 359.209
1994 05 1 1994 05 39.1089
1995 05 1 1995 05 47.4114
1996 05 1 1996 05 41.8982
1997 05 1 1997 05 344.6
1998 05 1 1998 05 51.4886
1999 05 1 1999 05 312.386
2000 05 1 2000 05 38.2521
2001 05 1 2001 05 107.679
2002 05 1 2002 05 222.964
2003 05 1 2003 05 26.0719
2004 05 1 2004 05 70.0774
2005 05 1 2005 05 36.501
2006 05 1 2006 05 31.0545
2007 05 1 2007 05 148.997
2008 05 1 2008 05 152.141
2009 05 1 2009 05 20.6001
2010 05 1 2010 05 715.7
1984 05 2 1984 06 131.073
