Y	M	L	ENSO	(m,m0)_(CV)
2001 05 3 0 43.6786
2002 05 3 1 89.5252
2003 05 3 0 40.4141
2004 05 3 0 77.8436
2005 05 3 1 60.5342
2006 05 3 0 33.4514
2007 05 3 0 59.9808
2008 05 3 0 59.8782
2009 05 3 0 60.7586
2010 05 3 0 98.2969
2011 05 3 0 51.3483
2012 05 3 0 50.8895
2013 05 3 0 85.2188
2014 05 3 1 67.7804
2015 05 3 1 360.206
2016 05 3 1 295.704
1982 06 4 1 227.746
1983 06 4 1 314.506
1984 06 4 0 25.1717
1985 06 4 0 195.563
1986 06 4 0 143.876
1987 06 4 1 751.461
1988 06 4 1 24.482
1989 06 4 0 48.506
1990 06 4 0 143.153
1991 06 4 1 58.3274
1992 06 4 1 371.655
1993 06 4 1 198.038
1994 06 4 1 56.6937
1995 06 4 0 87.7299
1996 06 4 0 11.6626
1997 06 4 1 151.547
1998 06 4 0 74.0011
1999 06 4 1 29.4271
2000 06 4 0 22.5943
2001 06 4 0 95.8951
2002 06 4 1 48.4255
2003 06 4 0 29.9
2004 06 4 1 81.6797
2005 06 4 1 83.5673
2006 06 4 0 145.481
2007 06 4 0 92.3244
2008 06 4 0 64.6038
2009 06 4 1 77.9768
2010 06 4 0 141.502
2011 06 4 0 42.0291
2012 06 4 0 134.598
2013 06 4 0 148.47
2014 06 4 1 86.6093
2015 06 4 1 375.266
2016 06 4 0 154.906
1982 04 0 0 3.60 21.4
1983 04 0 1 5.78 13.9
1984 04 0 0 1.26 6.31
1985 04 0 1 254.0 59.2
1986 04 0 0 78.5 8.48
1987 04 0 1 32.5 109.0
1988 04 0 0 15.1 11.8
1989 04 0 1 12.5 9.39
1990 04 0 0 301.5 111.0
1991 04 0 0 2.63 6.23
1992 04 0 1 151.3 123.7
1993 04 0 1 7.59 33.6
1994 04 0 0 1.02 1.23
1995 04 0 0 0.033 0.042
1996 04 0 0 0.383 0.206
1997 04 0 1 252.5 30.5
1998 04 0 1 5.42 20.6
1999 04 0 1 0.622 2.89
2000 04 0 1 56.1 685.0
2001 04 0 0 28.8 114.6
2002 04 0 0 39.9 27.3
2003 04 0 0 4.61 5.66
2004 04 0 0 165.0 185.1
2005 04 0 1 37.6 78.3
2006 04 0 0 17.2 14.4
2007 04 0 0 134.9 76.3
2008 04 0 1 86.2 8.70
2009 04 0 0 22.3 16.5
2010 04 0 1 339.2 58.4
2011 04 0 1 7.82 15.2
2012 04 0 0 0.241 1.58
2013 04 0 0 0.960 0.303
2014 04 0 0 1.40 4.31
2015 04 0 1 37.5 23.9
2016 04 0 1 22.2 20.4
1982 04 1 0 18.4762
1983 04 1 1 25.4599
1984 04 1 0 6.23336
1985 04 1 1 46.3856
1986 04 1 0 10.5795
1987 04 1 1 121.725
1988 04 1 0 10.842
1989 04 1 1 7.87238
1990 04 1 0 127.134
1991 04 1 0 8.19623
1992 04 1 1 150.24
1993 04 1 1 31.5591
1994 04 1 0 3.25288
1995 04 1 0 0.217762
1996 04 1 0 0.430015
1997 04 1 1 26.9907
1998 04 1 1 21.1976
1999 04 1 1 3.84719
2000 04 1 1 441.688
2001 04 1 0 148.227
2002 04 1 0 25.0501
2003 04 1 0 5.07675
2004 04 1 0 147.23
2005 04 1 1 51.5696
2006 04 1 0 12.5748
2007 04 1 0 28.1736
2008 04 1 1 3.51786
2009 04 1 0 8.40459
2010 04 1 1 55.7975
2011 04 1 1 7.37541
2012 04 1 0 1.79285
2013 04 1 0 0.779614
2014 04 1 0 4.47716
2015 04 1 1 13.087
2016 04 1 1 6.40209
1982 05 2 1 110.979
1983 05 2 1 259.559
1984 05 2 0 22.1395
1985 05 2 0 95.2122
1986 05 2 0 29.6785
1987 05 2 1 263.918
1988 05 2 1 51.1226
1989 05 2 1 10.5049
1990 05 2 0 45.4743
1991 05 2 1 26.5479
1992 05 2 1 494.052
1993 05 2 1 212.128
1994 05 2 1 25.0549
1995 05 2 0 14.3058
1996 05 2 0 10.9824
1997 05 2 1 100.936
1998 05 2 1 391.395
1999 05 2 1 9.83955
2000 05 2 0 24.7944
2001 05 2 0 59.4701
2002 05 2 1 39.8069
2003 05 2 0 20.4661
2004 05 2 0 72.2984
2005 05 2 1 31.7939
2006 05 2 0 27.7365
2007 05 2 0 69.3907
2008 05 2 0 11.1011
2009 05 2 0 46.2369
2010 05 2 0 82.9604
2011 05 2 0 11.4809
2012 05 2 0 51.0945
2013 05 2 0 147.47
2014 05 2 1 39.7006
2015 05 2 1 114.43
2016 05 2 1 131.594
1982 06 3 1 522.174
1983 06 3 1 266.549
1984 06 3 0 12.1543
1985 06 3 0 403.19
1986 06 3 0 121.047
1987 06 3 1 803.09
1988 06 3 1 30.2058
1989 06 3 0 40.3898
1990 06 3 0 158.954
1991 06 3 1 59.4221
1992 06 3 1 262.958
1993 06 3 1 215.703
1994 06 3 1 116.697
1995 06 3 0 292.945
1996 06 3 0 18.5797
1997 06 3 1 233.161
1998 06 3 0 50.8371
1999 06 3 1 236.304
2000 06 3 0 37.5555
2001 06 3 0 70.7118
2002 06 3 1 88.3633
2003 06 3 0 9.37464
2004 06 3 1 41.8539
2005 06 3 1 123.109
2006 06 3 0 356.973
2007 06 3 0 207.772
2008 06 3 0 54.5685
2009 06 3 1 33.9645
2010 06 3 0 161.017
2011 06 3 0 25.9797
2012 06 3 0 40.6271
2013 06 3 0 40.017
2014 06 3 1 44.0843
2015 06 3 1 92.1113
2016 06 3 0 41.4298
1982 07 4 1 87.2749
1983 07 4 0 42.3737
1984 07 4 0 0.0393471
1985 07 4 0 44.3474
1986 07 4 0 79.9991
1987 07 4 1 161.452
1988 07 4 1 5.03503
1989 07 4 0 25.2797
1990 07 4 0 207.242
1991 07 4 1 385.608
1992 07 4 1 448.739
1993 07 4 1 25.8487
1994 07 4 0 4.49479
1995 07 4 0 18.6828
1996 07 4 0 4.95629
1997 07 4 1 46.4463
1998 07 4 1 6.19529
1999 07 4 1 118.342
2000 07 4 0 15.8706
2001 07 4 0 33.5729
2002 07 4 1 1.30873
2003 07 4 0 77.8216
2004 07 4 1 41.5503
2005 07 4 0 72.0297
2006 07 4 0 3.47405
2007 07 4 0 46.3577
2008 07 4 0 10.6138
2009 07 4 1 5.30433
2010 07 4 1 62.6287
2011 07 4 0 0.139913
2012 07 4 1 6.6049
2013 07 4 0 2.68408
2014 07 4 0 1.40318
2015 07 4 1 113.324
2016 07 4 0 186.555
1982 05 0 1 1127 3.60
1983 05 0 1 478.0 5.78
1984 05 0 0 0.499 1.26
1985 05 0 0 405.1 254.0
1986 05 0 0 79.5 78.5
1987 05 0 1 753.6 32.5
1988 05 0 1 17.0 15.1
1989 05 0 1 4.67 12.5
1990 05 0 0 50.9 301.5
1991 05 0 1 35.4 2.63
1992 05 0 1 856.6 151.3
1993 05 0 1 56.4 7.59
1994 05 0 1 163.1 1.02
1995 05 0 0 180.9 0.033
1996 05 0 0 0.843 0.383
1997 05 0 1 118.8 252.5
1998 05 0 1 4.81 5.42
1999 05 0 1 104.1 0.622
2000 05 0 0 46.9 56.1
2001 05 0 0 11.4 28.8
2002 05 0 1 25.0 39.9
2003 05 0 0 4.67 4.61
2004 05 0 0 28.4 165.0
2005 05 0 1 23.1 37.6
2006 05 0 0 228.7 17.2
2007 05 0 0 264.7 134.9
2008 05 0 0 62.8 86.2
2009 05 0 0 14.0 22.3
2010 05 0 0 167.4 339.2
2011 05 0 0 2.69 7.82
2012 05 0 0 25.3 0.241
2013 05 0 0 45.7 0.960
2014 05 0 1 33.2 1.40
2015 05 0 1 589.3 37.5
2016 05 0 1 122.8 22.2
1982 05 1 1 234.042
1983 05 1 1 93.7059
1984 05 1 0 54.5797
1985 05 1 0 110.25
1986 05 1 0 37.9668
1987 05 1 1 125.06
1988 05 1 1 28.7254
1989 05 1 1 46.2115
1990 05 1 0 139.543
1991 05 1 1 28.6461
1992 05 1 1 158.227
1993 05 1 1 128.923
1994 05 1 1 67.0281
1995 05 1 0 31.8831
1996 05 1 0 18.2052
1997 05 1 1 178.515
1998 05 1 1 35.007
1999 05 1 1 88.6124
2000 05 1 0 25.0898
2001 05 1 0 32.6545
2002 05 1 1 24.0753
2003 05 1 0 25.9618
2004 05 1 0 15.9442
2005 05 1 1 122.504
