Y	M	L	ENSO	(m,m0)_(CV)
1989 06 4 0 36.0079
1990 06 4 0 299.711
1991 06 4 1 227.338
1992 06 4 1 7591.67
1993 06 4 1 39.8652
1994 06 4 1 120.725
1995 06 4 0 4.18447
1996 06 4 0 0.00119372
1997 06 4 1 95.8237
1998 06 4 0 0.762079
1999 06 4 1 4.7504
2000 06 4 0 0.273549
2001 06 4 0 13.7427
2002 06 4 1 43.36
2003 06 4 0 10.6941
2004 06 4 1 113.602
2005 06 4 1 59.8774
2006 06 4 0 7.87904
2007 06 4 0 59.1514
2008 06 4 0 1.36914
2009 06 4 1 4.17435
2010 06 4 0 39.987
2011 06 4 0 0.0266265
2012 06 4 0 61.6298
2013 06 4 0 2.44293
2014 06 4 1 3.92777
2015 06 4 1 2072.3
2016 06 4 0 777.102
1982 04 0 0 30.8 92.1
1983 04 0 1 0.099 0.416
1984 04 0 0 0.008 0.614
1985 04 0 1 506.5 316.1
1986 04 0 0 0.398 1.99
1987 04 0 1 88.2 139.6
1988 04 0 0 16.8 35.6
1989 04 0 1 1.07 2.71
1990 04 0 0 642.9 221.6
1991 04 0 0 98.6 3.54
1992 04 0 1 660.7 912.6
1993 04 0 1 30.6 111.6
1994 04 0 0 0.407 19.4
1995 04 0 0 63.0 10.1
1996 04 0 0 0.0 0.0
1997 04 0 1 269.9 80.9
1998 04 0 1 1.90 26.1
1999 04 0 1 257.7 263.6
2000 04 0 1 7.29 35.9
2001 04 0 0 53.4 93.3
2002 04 0 0 0.148 9.59
2003 04 0 0 24.7 63.5
2004 04 0 0 1866 299.0
2005 04 0 1 159.6 469.1
2006 04 0 0 0.046 0.132
2007 04 0 0 4.85 5.35
2008 04 0 1 4.07 17.5
2009 04 0 0 0.0 0.000
2010 04 0 1 256.4 10.2
2011 04 0 1 0.0 0.163
2012 04 0 0 6.60 49.3
2013 04 0 0 0.0 0.0
2014 04 0 0 0.014 0.150
2015 04 0 1 163.3 42.4
2016 04 0 1 14.8 13.8
1982 04 1 0 27.087
1983 04 1 1 0.149996
1984 04 1 0 0.203387
1985 04 1 1 246.283
1986 04 1 0 0.690454
1987 04 1 1 60.659
1988 04 1 0 10.1114
1989 04 1 1 1.04402
1990 04 1 0 93.1318
1991 04 1 0 2.6711
1992 04 1 1 965.049
1993 04 1 1 392.558
