Y M L ENSO 0.0001 0.0001
1989 04 2 1 6.65485 8.58492
1990 04 2 0 89.9493 74.6786
1991 04 2 0 8.27184 6.84186
1992 04 2 1 164.289 69.2107
1993 04 2 1 43.1998 38.1013
1994 04 2 0 1.79193 1.5293
1995 04 2 0 0.400158 0.0414896
1996 04 2 0 0.417961 0.236314
1997 04 2 1 24.7956 26.4362
1998 04 2 1 26.7651 12.3556
1999 04 2 1 3.81361 4.16907
2000 04 2 1 1097.93 1981.63
2001 04 2 0 100.03 136.305
2002 04 2 0 12.0037 32.8555
2003 04 2 0 6.1899 5.61448
2004 04 2 0 125.492 174.725
2005 04 2 1 54.2444 71.7892
2006 04 2 0 7.45457 15.2757
2007 04 2 0 37.2879 54.6059
2008 04 2 1 7.69681 7.78799
2009 04 2 0 19.0289 9.84338
2010 04 2 1 64.1415 16.5214
2011 04 2 1 10.1442 26.1581
2012 04 2 0 1.32702 1.48276
2013 04 2 0 0.402361 0.418874
2014 04 2 0 1.19066 3.09901
2015 04 2 1 10.3203 16.0346
2016 04 2 1 11.4046 9.7699
1982 05 3 1 23.5668 20.4066
1983 05 3 1 63.5152 145.33
1984 05 3 0 27.9301 23.8192
1985 05 3 0 67.4773 40.2525
1986 05 3 0 48.4373 52.1741
1987 05 3 1 105.301 130.545
1988 05 3 1 33.8713 62.2097
1989 05 3 1 38.5312 24.982
1990 05 3 0 86.1717 95.0281
1991 05 3 1 20.515 49.4839
1992 05 3 1 182.851 272.967
1993 05 3 1 75.5366 47.5248
1994 05 3 1 6.06265 15.6254
1995 05 3 0 6.00336 13.4758
1996 05 3 0 10.3078 19.289
1997 05 3 1 46.0571 107.436
1998 05 3 1 54.8567 101.947
1999 05 3 1 10.7564 6.04461
2000 05 3 0 28.3572 20.5761
2001 05 3 0 43.6786 77.4876
2002 05 3 1 89.5252 50.294
2003 05 3 0 40.4141 85.8585
2004 05 3 0 77.8436 80.5565
2005 05 3 1 60.5342 78.218
2006 05 3 0 33.4514 38.2556
2007 05 3 0 59.9808 84.8641
2008 05 3 0 59.8782 30.4877
2009 05 3 0 60.7586 34.5217
2010 05 3 0 98.2969 81.4384
2011 05 3 0 51.3483 19.3183
2012 05 3 0 50.8895 15.0871
2013 05 3 0 85.2188 16.4666
2014 05 3 1 67.7804 24.9786
2015 05 3 1 360.206 77.7538
2016 05 3 1 295.704 218.589
1982 06 4 1 227.746 333.636
1983 06 4 1 314.506 302.319
1984 06 4 0 25.1717 36.7212
1985 06 4 0 195.563 158.458
1986 06 4 0 143.876 189.946
1987 06 4 1 751.461 376.115
1988 06 4 1 24.482 44.9051
1989 06 4 0 48.506 13.9586
1990 06 4 0 143.153 59.5738
1991 06 4 1 58.3274 53.7535
1992 06 4 1 371.655 251.294
1993 06 4 1 198.038 51.6974
1994 06 4 1 56.6937 220.625
1995 06 4 0 87.7299 190.752
1996 06 4 0 11.6626 15.192
1997 06 4 1 151.547 107.569
1998 06 4 0 74.0011 23.695
1999 06 4 1 29.4271 86.8127
2000 06 4 0 22.5943 58.2523
2001 06 4 0 95.8951 16.2729
2002 06 4 1 48.4255 67.9995
2003 06 4 0 29.9 16.9612
2004 06 4 1 81.6797 46.9659
2005 06 4 1 83.5673 93.4838
2006 06 4 0 145.481 125.718
2007 06 4 0 92.3244 184.629
2008 06 4 0 64.6038 58.8881
2009 06 4 1 77.9768 33.6065
2010 06 4 0 141.502 205.341
2011 06 4 0 42.0291 82.1245
2012 06 4 0 134.598 281.092
2013 06 4 0 148.47 78.6212
2014 06 4 1 86.6093 104.4
2015 06 4 1 375.266 336.137
2016 06 4 0 154.906 301.048
1982 04 0 0 3.60 21.4
1983 04 0 1 5.78 13.9
1984 04 0 0 1.26 6.31
1985 04 0 1 254.0 59.2
1986 04 0 0 78.5 8.48
1987 04 0 1 32.5 109.0
1988 04 0 0 15.1 11.8
1989 04 0 1 12.5 9.39
1990 04 0 0 301.5 111.0
1991 04 0 0 2.63 6.23
1992 04 0 1 151.3 123.7
1993 04 0 1 7.59 33.6
1994 04 0 0 1.02 1.23
1995 04 0 0 0.033 0.042
1996 04 0 0 0.383 0.206
1997 04 0 1 252.5 30.5
1998 04 0 1 5.42 20.6
1999 04 0 1 0.622 2.89
2000 04 0 1 56.1 685.0
2001 04 0 0 28.8 114.6
2002 04 0 0 39.9 27.3
2003 04 0 0 4.61 5.66
2004 04 0 0 165.0 185.1
2005 04 0 1 37.6 78.3
2006 04 0 0 17.2 14.4
2007 04 0 0 134.9 76.3
2008 04 0 1 86.2 8.70
2009 04 0 0 22.3 16.5
2010 04 0 1 339.2 58.4
2011 04 0 1 7.82 15.2
2012 04 0 0 0.241 1.58
2013 04 0 0 0.960 0.303
2014 04 0 0 1.40 4.31
2015 04 0 1 37.5 23.9
2016 04 0 1 22.2 20.4
1982 04 1 0 18.4762 15.3485
1983 04 1 1 25.4599 9.49829
1984 04 1 0 6.23336 5.70131
1985 04 1 1 46.3856 60.2613
1986 04 1 0 10.5795 6.43571
1987 04 1 1 121.725 94.087
1988 04 1 0 10.842 3.84382
1989 04 1 1 7.87238 7.96737
1990 04 1 0 127.134 93.5568
1991 04 1 0 8.19623 9.13618
1992 04 1 1 150.24 80.1054
1993 04 1 1 31.5591 40.5656
1994 04 1 0 3.25288 1.49829
1995 04 1 0 0.217762 0.0851955
1996 04 1 0 0.430015 0.243291
1997 04 1 1 26.9907 41.9971
1998 04 1 1 21.1976 6.07915
1999 04 1 1 3.84719 10.6549
2000 04 1 1 441.688 1813.27
2001 04 1 0 148.227 62.571
2002 04 1 0 25.0501 30.5723
2003 04 1 0 5.07675 5.77341
2004 04 1 0 147.23 200.323
2005 04 1 1 51.5696 87.693
2006 04 1 0 12.5748 13.0105
2007 04 1 0 28.1736 34.9313
2008 04 1 1 3.51786 4.59807
2009 04 1 0 8.40459 6.33306
2010 04 1 1 55.7975 25.3212
2011 04 1 1 7.37541 9.34936
2012 04 1 0 1.79285 4.49583
2013 04 1 0 0.779614 0.390147
2014 04 1 0 4.47716 5.7432
2015 04 1 1 13.087 51.8091
2016 04 1 1 6.40209 6.78772
1982 05 2 1 110.979 20.0369
1983 05 2 1 259.559 180.049
1984 05 2 0 22.1395 35.0975
1985 05 2 0 95.2122 49.9041
1986 05 2 0 29.6785 77.9637
1987 05 2 1 263.918 215.897
1988 05 2 1 51.1226 34.3907
1989 05 2 1 10.5049 26.3217
1990 05 2 0 45.4743 148.963
1991 05 2 1 26.5479 36.3269
1992 05 2 1 494.052 285.838
1993 05 2 1 212.128 79.5048
1994 05 2 1 25.0549 23.5731
1995 05 2 0 14.3058 11.3477
1996 05 2 0 10.9824 12.4529
1997 05 2 1 100.936 68.1355
1998 05 2 1 391.395 138.945
1999 05 2 1 9.83955 4.32329
2000 05 2 0 24.7944 21.7088
2001 05 2 0 59.4701 66.466
2002 05 2 1 39.8069 69.8495
2003 05 2 0 20.4661 51.7399
2004 05 2 0 72.2984 94.3993
2005 05 2 1 31.7939 60.0133
2006 05 2 0 27.7365 29.8133
2007 05 2 0 69.3907 80.1442
2008 05 2 0 11.1011 26.1788
2009 05 2 0 46.2369 31.0085
2010 05 2 0 82.9604 71.0046
2011 05 2 0 11.4809 18.0819
2012 05 2 0 51.0945 15.997
2013 05 2 0 147.47 21.9239
2014 05 2 1 39.7006 19.492
2015 05 2 1 114.43 117.549
2016 05 2 1 131.594 184.999
1982 06 3 1 522.174 139.135
1983 06 3 1 266.549 414.621
1984 06 3 0 12.1543 14.6474
1985 06 3 0 403.19 270.619
1986 06 3 0 121.047 390.733
1987 06 3 1 803.09 230.219
1988 06 3 1 30.2058 47.354
1989 06 3 0 40.3898 32.8751
1990 06 3 0 158.954 80.8314
1991 06 3 1 59.4221 60.7798
1992 06 3 1 262.958 197.8
1993 06 3 1 215.703 342.328
1994 06 3 1 116.697 405.5
1995 06 3 0 292.945 78.8905
1996 06 3 0 18.5797 17.9984
1997 06 3 1 233.161 76.2508
1998 06 3 0 50.8371 17.0564
1999 06 3 1 236.304 179.997
2000 06 3 0 37.5555 183.933
2001 06 3 0 70.7118 72.6024
2002 06 3 1 88.3633 38.1827
2003 06 3 0 9.37464 20.5772
2004 06 3 1 41.8539 87.1088
2005 06 3 1 123.109 27.5331
2006 06 3 0 356.973 116.044
2007 06 3 0 207.772 132.614
2008 06 3 0 54.5685 140.518
2009 06 3 1 33.9645 66.1415
2010 06 3 0 161.017 184.224
2011 06 3 0 25.9797 37.5625
2012 06 3 0 40.6271 61.0987
2013 06 3 0 40.017 54.5007
2014 06 3 1 44.0843 40.0505
2015 06 3 1 92.1113 700.76
2016 06 3 0 41.4298 206.272
1982 07 4 1 87.2749 231.032
1983 07 4 0 42.3737 1.67345
1984 07 4 0 0.0393471 0.865276
1985 07 4 0 44.3474 105.118
1986 07 4 0 79.9991 22.6356
1987 07 4 1 161.452 13.223
1988 07 4 1 5.03503 13.3624
1989 07 4 0 25.2797 710.623
1990 07 4 0 207.242 373.699
1991 07 4 1 385.608 531.489
1992 07 4 1 448.739 184.32
1993 07 4 1 25.8487 258.253
1994 07 4 0 4.49479 13.3421
1995 07 4 0 18.6828 18.1395
1996 07 4 0 4.95629 8.89471
1997 07 4 1 46.4463 48.7871
1998 07 4 1 6.19529 1.60213
1999 07 4 1 118.342 940.222
2000 07 4 0 15.8706 133.47
2001 07 4 0 33.5729 7.76824
2002 07 4 1 1.30873 1.03337
2003 07 4 0 77.8216 125.178
2004 07 4 1 41.5503 40.5664
2005 07 4 0 72.0297 4.23227
2006 07 4 0 3.47405 5.21781
2007 07 4 0 46.3577 33.9687
2008 07 4 0 10.6138 8.22854
2009 07 4 1 5.30433 23.2183
2010 07 4 1 62.6287 37.4483
2011 07 4 0 0.139913 1.09495
2012 07 4 1 6.6049 9.25569
2013 07 4 0 2.68408 2.51234
2014 07 4 0 1.40318 5.83852
2015 07 4 1 113.324 27.5803
2016 07 4 0 186.555 6.33163
1982 05 0 1 1127 3.60
1983 05 0 1 478.0 5.78
1984 05 0 0 0.499 1.26
1985 05 0 0 405.1 254.0
1986 05 0 0 79.5 78.5
1987 05 0 1 753.6 32.5
1988 05 0 1 17.0 15.1
1989 05 0 1 4.67 12.5
1990 05 0 0 50.9 301.5
1991 05 0 1 35.4 2.63
1992 05 0 1 856.6 151.3
1993 05 0 1 56.4 7.59
1994 05 0 1 163.1 1.02
1995 05 0 0 180.9 0.033
1996 05 0 0 0.843 0.383
1997 05 0 1 118.8 252.5
1998 05 0 1 4.81 5.42
1999 05 0 1 104.1 0.622
2000 05 0 0 46.9 56.1
2001 05 0 0 11.4 28.8
2002 05 0 1 25.0 39.9
2003 05 0 0 4.67 4.61
2004 05 0 0 28.4 165.0
2005 05 0 1 23.1 37.6
2006 05 0 0 228.7 17.2
2007 05 0 0 264.7 134.9
2008 05 0 0 62.8 86.2
2009 05 0 0 14.0 22.3
2010 05 0 0 167.4 339.2
2011 05 0 0 2.69 7.82
2012 05 0 0 25.3 0.241
2013 05 0 0 45.7 0.960
2014 05 0 1 33.2 1.40
2015 05 0 1 589.3 37.5
2016 05 0 1 122.8 22.2
1982 05 1 1 234.042 44.6302
1983 05 1 1 93.7059 125.074
1984 05 1 0 54.5797 33.7133
1985 05 1 0 110.25 42.7901
1986 05 1 0 37.9668 65.0477
1987 05 1 1 125.06 205.796
1988 05 1 1 28.7254 30.9383
1989 05 1 1 46.2115 30.5474
1990 05 1 0 139.543 55.9813
1991 05 1 1 28.6461 81.6874
1992 05 1 1 158.227 390.674
1993 05 1 1 128.923 99.7747
1994 05 1 1 67.0281 84.2518
1995 05 1 0 31.8831 49.5463
1996 05 1 0 18.2052 29.2133
1997 05 1 1 178.515 69.0936
1998 05 1 1 35.007 139.994
1999 05 1 1 88.6124 4.98575
2000 05 1 0 25.0898 10.2926
2001 05 1 0 32.6545 41.9689
2002 05 1 1 24.0753 71.8798
2003 05 1 0 25.9618 82.115
2004 05 1 0 15.9442 38.8987
2005 05 1 1 122.504 61.6765
2006 05 1 0 32.8422 24.8031
2007 05 1 0 112.508 33.9996
2008 05 1 0 51.4215 10.1688
2009 05 1 0 84.0489 38.7293
