Y	M	L	ENSO	(m,m0)_(CV)
1995 04 1 0 0.111619
1996 04 1 0 0.303317
1997 04 1 1 16.0132
1998 04 1 1 15.0924
1999 04 1 1 5.24277
2000 04 1 1 147.949
2001 04 1 0 28.8857
2002 04 1 0 12.3496
2003 04 1 0 3.43658
2004 04 1 0 72.7644
2005 04 1 1 48.9071
2006 04 1 0 37.9555
2007 04 1 0 24.3543
2008 04 1 1 3.18108
2009 04 1 0 23.8777
2010 04 1 1 322.789
1984 05 2 0 85.7443
1985 05 2 0 436.384
1986 05 2 0 36.5005
1987 05 2 1 112.628
1988 05 2 1 29.039
1989 05 2 1 27.43
1990 05 2 0 480.877
1991 05 2 1 19.0438
1992 05 2 1 105.93
1993 05 2 1 139.792
1994 05 2 1 2.39786
1995 05 2 0 0.857051
1996 05 2 0 15.7878
1997 05 2 1 76.7045
1998 05 2 1 36.3931
1999 05 2 1 30.98
2000 05 2 0 24.308
2001 05 2 0 30.6496
2002 05 2 1 45.3772
2003 05 2 0 27.0601
2004 05 2 0 50.7725
2005 05 2 1 60.6002
2006 05 2 0 29.6326
2007 05 2 0 80.8711
2008 05 2 0 28.4631
2009 05 2 0 53.2309
2010 05 2 0 23.6232
1984 06 3 0 150.785
1985 06 3 0 167.882
1986 06 3 0 45.1334
1987 06 3 1 119.311
1988 06 3 1 57.8162
1989 06 3 0 99.0918
1990 06 3 0 72.443
1991 06 3 1 47.6394
1992 06 3 1 112.93
1993 06 3 1 113.464
1994 06 3 1 98.3248
1995 06 3 0 193.67
1996 06 3 0 154.29
1997 06 3 1 199.607
1998 06 3 0 183.337
1999 06 3 1 81.4166
2000 06 3 0 62.4879
2001 06 3 0 55.4787
2002 06 3 1 95.6147
2003 06 3 0 155.92
2004 06 3 1 128.025
2005 06 3 1 173.791
2006 06 3 0 154.592
2007 06 3 0 178.517
2008 06 3 0 161.022
2009 06 3 1 170.131
2010 06 3 0 63.0424
1984 07 4 0 7.41452
1985 07 4 0 107.413
1986 07 4 0 86.137
1987 07 4 1 4.06814
1988 07 4 1 2.48332
1989 07 4 0 116.243
1990 07 4 0 70.6794
1991 07 4 1 67.8886
1992 07 4 1 25.6702
1993 07 4 1 23.9378
1994 07 4 0 16.9184
1995 07 4 0 51.0153
1996 07 4 0 29.2202
1997 07 4 1 136.191
1998 07 4 1 4.01408
1999 07 4 1 45.4724
2000 07 4 0 19.3498
2001 07 4 0 128.496
2002 07 4 1 2.31223
2003 07 4 0 62.3925
2004 07 4 1 28.2364
2005 07 4 0 21.6181
2006 07 4 0 13.3136
2007 07 4 0 86.7584
2008 07 4 0 14.0134
2009 07 4 1 89.2318
2010 07 4 1 15.8053
1984 05 0 0 0.499 1.26
1985 05 0 0 405.1 254.0
1986 05 0 0 79.5 78.5
1987 05 0 1 753.6 32.5
1988 05 0 1 17.0 15.1
1989 05 0 1 4.67 12.5
1990 05 0 0 50.9 301.5
1991 05 0 1 35.4 2.63
1992 05 0 1 856.6 151.3
1993 05 0 1 56.4 7.59
1994 05 0 1 163.1 1.02
1995 05 0 0 180.9 0.033
1996 05 0 0 0.843 0.383
1997 05 0 1 118.8 252.5
1998 05 0 1 4.81 5.42
1999 05 0 1 104.1 0.622
2000 05 0 0 46.9 56.1
2001 05 0 0 11.4 28.8
2002 05 0 1 25.0 39.9
2003 05 0 0 4.67 4.61
2004 05 0 0 28.4 165.0
2005 05 0 1 23.1 37.6
2006 05 0 0 228.7 17.2
2007 05 0 0 264.7 134.9
2008 05 0 0 62.8 86.2
